Sun Feb 24 18:07:46 2019    /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/PEF/profiling/results.txt

         960982 function calls (955396 primitive calls) in 18.116 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/concurrent.py:142(Future)
       62    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/iostream.py:179(advance)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/template.py:457(DictLoader)
     1087    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       62    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/httpserver.py:207(on_close)
       88    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/sre_parse.py:70(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ctypes/util.py:1(<module>)
       35    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/backend.py:1961(__init__)
      201    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/charset.py:34(add)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/multiprocessing/context.py:29(BaseContext)
      124    0.000    0.000    0.001    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/web.py:1752(_has_stream_request_body)
        1    0.000    0.000    0.012    0.012 byewait/src/repository/repo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/inspect.py:2341(_void)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ctypes/__init__.py:357(__getattr__)
       32    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       13    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/threading.py:237(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/unix_events.py:966(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(DoneAndNotDoneFutures)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/template.py:475(_Node)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/keys.py:910(DomainParameters)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ctypes/__init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/gen.py:162(BadYieldError)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.5/opcode.py:53(jabs_op)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.Cryptography_setup_ssl_threads}
